,00000000f1124bca,00000000afef4555,0000000053c6c2be,0000000038d83d41,0000000019fb59c4,000000006b44cce7,0000000038bf9618,00000000675d5200,00000000fdda10fe,00000000aa852af1,00000000342570c2,00000000fb7600be,000000000f4919c9,000000006b087f40,000000007b5207b6,0000000006dd41f6,00000000fffb8cf0,00000000d747f075,00000000a53ed894,00000000e8a064a4,0000000096918cfa
00000000f1124bca,1.0,-0.11003773662424964,-0.06885630645043031,0.270029895758336,0.017836971499737335,-0.021123034357396805,0.18301719672417052,0.007317275245718483,-0.016776189945808487,-0.09733146278378185,-0.1749103122093118,-0.11594087764216286,-0.21162162148418973,0.21295656415608064,0.05588390799525112,-0.06411901731833208,-0.014014915474833342,-0.10149561586522803,-0.04434474099327567,-0.02459103769806553,0.04397488938110086
00000000afef4555,-0.11003773662424964,1.0,-0.06926763786522992,0.20830089615663525,0.5174824716175955,0.3760824009275906,-0.03467334028585586,0.6272082828512152,0.7235275961795926,0.5722799144801058,0.2123131774304295,0.25843213135819226,0.7736751094202522,0.5695831328553219,0.6638679476794666,0.3144123482119939,0.03683086513372764,-0.10480799993200808,0.4305741697708532,0.044653026169700245,0.3725943310400958
0000000053c6c2be,-0.0688563064504303,-0.06926763786522991,1.0,0.32419851345444295,-0.2611102309277107,0.4808846565889799,0.36440048807396047,0.21615650224536329,-0.5676834871598546,0.11405383920790033,0.3748708474678716,0.4934516558223194,-0.13934986670013408,-0.14449110627443923,0.16811698139487216,0.0526966325225341,0.618369511650597,0.9016170769687738,0.10568534896156614,-0.10308145101564471,-0.05869562675355688
0000000038d83d41,0.270029895758336,0.20830089615663522,0.32419851345444295,0.9999999999999999,0.050407742003539265,0.7694485940542262,0.676528816687994,0.2147895196380092,0.0150404472040214,0.4817684365469648,0.4679042943502046,0.4976780506701563,0.09036603772222092,0.475915891106337,0.21395280381599202,0.30351437892878563,0.4347147934406281,0.2926408492981639,0.473825658259131,0.24908672730371906,0.22827697804868002
0000000019fb59c4,0.017836971499737335,0.5174824716175955,-0.2611102309277107,0.050407742003539265,1.0,-0.016408848753720964,-0.12900089292108693,0.32471046642742263,0.5418191713513991,0.2804070153016352,-0.13798404726019803,-0.03671140359201105,0.40363308229624856,0.5111753410044857,0.3572734684488827,0.06409085199622867,-0.34067122958175533,-0.33293745098733324,0.07991753163960813,0.08993989057279411,0.16639155233180325
000000006b44cce7,-0.021123034357396805,0.3760824009275906,0.4808846565889799,0.7694485940542263,-0.016408848753720964,1.0,0.632989344644291,0.33577589853189777,-0.018969502086488385,0.7938678391616678,0.7579126890008699,0.7052905325387309,0.3580141118985442,0.3276497324970686,0.3015453669771111,0.38132523866513013,0.5569468128101577,0.47197767203396584,0.6520117891408479,0.18143346687904374,0.47585870911072675
0000000038bf9618,0.18301719672417052,-0.03467334028585585,0.3644004880739605,0.676528816687994,-0.12900089292108693,0.6329893446442911,0.9999999999999999,0.031006372498318828,-0.19118403190827904,0.38319866391336277,0.5081233959203802,0.5743941520129232,5.9003521879400125e-05,0.14308942109398948,-0.008642065804504651,0.21770650031120078,0.5466591307285336,0.3790689650385237,0.30269364337756766,0.2639897056075749,0.22221449192169998
00000000675d5200,0.007317275245718482,0.6272082828512153,0.21615650224536326,0.2147895196380092,0.3247104664274226,0.33577589853189777,0.031006372498318828,1.0,0.2780158276862459,0.3411927403155978,0.18505190611707786,0.23739258117459516,0.3829220502645499,0.3380519232693777,0.9812010972747496,0.031738576424814355,0.2836075934742203,0.1644123100771497,0.1518526433502479,-0.18988460131353846,0.1621451795130928
00000000fdda10fe,-0.016776189945808487,0.7235275961795926,-0.5676834871598546,0.015040447204021399,0.5418191713513991,-0.01896950208648838,-0.19118403190827904,0.2780158276862459,0.9999999999999999,0.2699414342401748,-0.03602383466541571,-0.15606408703690255,0.6579880922162801,0.5561760450385878,0.32362339790453976,0.22899947329769277,-0.40969632934538464,-0.6082065867743909,0.29931142943389094,0.12112833106995863,0.2760631498417534
00000000aa852af1,-0.09733146278378185,0.5722799144801058,0.11405383920790033,0.4817684365469648,0.28040701530163514,0.7938678391616678,0.38319866391336277,0.3411927403155979,0.26994143424017486,1.0,0.608707632150879,0.5172495044157631,0.5743023977399325,0.3573768376022109,0.3482471031548504,0.41113559101855374,0.23742198204931828,0.13087554008244778,0.6099761881287671,0.28871354206544025,0.6144255407540262
00000000342570c2,-0.17491031220931177,0.2123131774304295,0.3748708474678716,0.4679042943502046,-0.13798404726019803,0.7579126890008699,0.5081233959203802,0.18505190611707786,-0.03602383466541572,0.608707632150879,1.0,0.5263514516706851,0.3080989234249205,0.010040377440897095,0.13002424563616446,0.2628526860902883,0.5054915523616548,0.35627471759307705,0.6404856741683329,0.11065881549142229,0.5703897563360819
00000000fb7600be,-0.11594087764216285,0.25843213135819226,0.49345165582231953,0.49767805067015625,-0.036711403592011055,0.7052905325387308,0.5743941520129232,0.23739258117459516,-0.15606408703690255,0.5172495044157631,0.5263514516706852,1.0,0.25768399169538125,0.0972025203902326,0.20043860531337002,0.09069490110204226,0.5473474056519494,0.44160246234837924,0.31910923358162196,0.19627860673398037,0.30196135801507146
000000000f4919c9,-0.21162162148418975,0.7736751094202522,-0.13934986670013408,0.0903660377222209,0.40363308229624856,0.3580141118985442,5.900352187940013e-05,0.38292205026454995,0.65798809221628,0.5743023977399325,0.3080989234249205,0.25768399169538125,1.0,0.5324932328676318,0.3904151858850745,0.2191121220612918,-0.11642808828279984,-0.2085915991736954,0.37089060279854835,0.05493081423286881,0.48069628413014104
000000006b087f40,0.21295656415608064,0.5695831328553219,-0.14449110627443923,0.475915891106337,0.5111753410044858,0.3276497324970686,0.14308942109398945,0.3380519232693777,0.5561760450385876,0.35737683760221084,0.010040377440897096,0.09720252039023261,0.532493232867632,1.0,0.3799942044347961,0.16463265727460064,-0.1540076539482747,-0.20273585612085337,0.18621381821262398,0.09273154457148612,0.23999246666731924
000000007b5207b6,0.05588390799525113,0.6638679476794666,0.16811698139487216,0.213952803815992,0.35727346844888275,0.3015453669771111,-0.008642065804504651,0.9812010972747496,0.3236233979045397,0.3482471031548504,0.1300242456361645,0.20043860531337,0.3904151858850745,0.3799942044347961,1.0,0.04867684426725431,0.22451861333242767,0.1107447882516793,0.1412196328173215,-0.11846974163475182,0.17732799089551488
0000000006dd41f6,-0.06411901731833208,0.3144123482119939,0.0526966325225341,0.30351437892878563,0.06409085199622867,0.3813252386651301,0.21770650031120078,0.031738576424814355,0.22899947329769277,0.41113559101855374,0.2628526860902883,0.09069490110204226,0.21911212206129183,0.16463265727460066,0.048676844267254306,0.9999999999999999,0.1353801717079623,0.04006552244569729,0.4826065227284389,0.18239602545586098,0.16271623480901162
00000000fffb8cf0,-0.014014915474833342,0.03683086513372764,0.618369511650597,0.434714793440628,-0.34067122958175533,0.5569468128101577,0.5466591307285336,0.2836075934742203,-0.40969632934538464,0.23742198204931825,0.5054915523616549,0.5473474056519494,-0.11642808828279985,-0.1540076539482747,0.22451861333242765,0.1353801717079623,0.9999999999999999,0.6121413856756157,0.15874323192547013,-0.13533549173784062,0.06904169600394748
00000000d747f075,-0.10149561586522804,-0.10480799993200807,0.9016170769687737,0.2926408492981639,-0.33293745098733324,0.4719776720339659,0.3790689650385237,0.1644123100771497,-0.6082065867743909,0.13087554008244776,0.35627471759307705,0.44160246234837924,-0.2085915991736954,-0.20273585612085337,0.11074478825167929,0.040065522445697284,0.6121413856756157,1.0,0.14217588333788386,-0.13008001046592338,-0.04942323741853754
00000000a53ed894,-0.04434474099327567,0.43057416977085317,0.10568534896156617,0.473825658259131,0.07991753163960812,0.6520117891408479,0.30269364337756766,0.1518526433502479,0.29931142943389094,0.6099761881287671,0.6404856741683328,0.31910923358162196,0.3708906027985483,0.18621381821262398,0.1412196328173215,0.4826065227284389,0.1587432319254701,0.14217588333788383,1.0,0.11226804636146577,0.535924918014113
00000000e8a064a4,-0.02459103769806553,0.044653026169700245,-0.10308145101564471,0.24908672730371906,0.08993989057279411,0.18143346687904374,0.2639897056075749,-0.18988460131353846,0.12112833106995863,0.28871354206544025,0.11065881549142227,0.19627860673398037,0.054930814232868816,0.09273154457148611,-0.11846974163475181,0.18239602545586098,-0.13533549173784062,-0.13008001046592338,0.11226804636146577,0.9999999999999999,0.20139779645936692
0000000096918cfa,0.04397488938110087,0.3725943310400958,-0.05869562675355688,0.22827697804868002,0.16639155233180328,0.47585870911072675,0.22221449192169995,0.1621451795130928,0.27606314984175334,0.6144255407540262,0.5703897563360819,0.30196135801507146,0.48069628413014104,0.23999246666731922,0.17732799089551488,0.16271623480901162,0.06904169600394748,-0.04942323741853754,0.535924918014113,0.20139779645936692,0.9999999999999999
